name,kind,class,length,last_write
switch_value_models_20260604_top3_pv1m_raw_lgb_h5,dir,checkpoint_or_model,,2026-06-10 21:00:00
TEST_PLAN.md,file,source_or_docs,5602,2026-06-12 12:13:24
tests,dir,source_or_docs,,2026-06-18 14:28:19
unified_good_ops_validation_20260616,dir,experiment_output,,2026-06-16 18:10:19
v9_avgw3_extend_to_20260518_20260616,dir,experiment_output,,2026-06-17 00:26:39
v9_avgw3_filter095_validation_20260616,dir,experiment_output,,2026-06-16 21:04:16
v9_avgw3_open_ledger_20260616,dir,experiment_output,,2026-06-17 00:12:37
v9_avgw3_open_ledger_20260617,dir,experiment_output,,2026-06-18 00:45:42
validate_downside_topfocus_candidates_20260616.ps1,file,experiment_output,546,2026-06-16 15:03:06
validate_m0_epoch_lag1_sweep_20260616.ps1,file,experiment_output,576,2026-06-16 15:34:43
